P,P,C,1B,2B,3B,SS,OF,OF,OF
23920504,23920507,23920837,23920586,23920630,23920656,23920555,23920591,23920706,23920628
23920504,23920507,23920948,23920543,23920630,23920751,23920555,23920591,23920628,23920731
23920504,23920507,23920948,23920736,23920630,23920697,23920555,23920591,23920551,23920628
23920504,23920507,23920948,23920707,23920630,23920582,23920528,23920591,23920628,23920731
23920504,23920507,23920837,23920707,23920630,23920751,23920555,23920591,23920551,23920628
23920504,23920507,23920948,23920638,23920630,23920634,23920555,23920591,23920663,23920628
23920504,23920507,23920686,23920707,23920630,23920634,23920555,23920591,23920628,23920731
23920507,23920508,23920837,23920638,23920630,23920656,23920555,23920591,23920551,23920628
23920504,23920507,23920948,23920953,23920630,23920527,23920555,23920591,23920628,23920744
23920504,23920507,23920948,23920707,23920651,23920532,23920555,23920591,23920628,23920731
23920504,23920507,23920674,23920638,23920630,23920656,23920555,23920591,23920628,23920731
23920504,23920507,23920948,23920707,23920651,23920751,23920528,23920591,23920731,23920523
23920507,23920508,23920837,23920707,23920630,23920527,23920555,23920591,23920706,23920628
23920504,23920507,23920686,23920736,23920630,23920656,23920555,23920591,23920628,23920629
23920512,23920507,23920542,23920707,23920630,23920582,23920555,23920591,23920628,23920731
23920504,23920507,23920837,23920622,23920630,23920634,23920555,23920591,23920679,23920628
23920504,23920507,23920948,23920638,23920776,23920656,23920555,23920591,23920558,23920628
23920504,23920507,23920547,23920707,23920630,23920634,23920698,23920591,23920679,23920628
23920504,23920507,23920948,23920707,23920754,23920634,23920555,23920591,23920551,23920628
23920507,23920508,23920948,23920638,23920630,23920527,23920555,23920591,23920628,23920731
23920512,23920507,23920581,23920736,23920630,23920656,23920555,23920591,23920551,23920628
23920504,23920507,23920948,23920638,23920630,23920527,23920698,23920591,23920679,23920628
23920512,23920507,23920581,23920707,23920630,23920532,23920555,23920591,23920701,23920628
23920512,23920507,23920948,23920736,23920630,23920527,23920555,23920591,23920558,23920628
23920504,23920507,23920542,23920736,23920630,23920582,23920698,23920591,23920628,23920731
23920504,23920507,23920948,23920707,23920630,23920634,23920627,23920591,23920558,23920628
23920504,23920507,23920547,23920707,23920630,23920656,23920627,23920591,23920628,23920731
23920504,23920507,23920686,23920543,23920630,23920656,23920698,23920591,23920679,23920628
23920504,23920507,23920581,23920736,23920630,23920751,23920555,23920591,23920679,23920628
23920504,23920507,23920837,23920638,23920630,23920656,23920528,23920591,23920679,23920628
23920504,23920507,23920948,23920736,23920754,23920656,23920555,23920591,23920628,23920537
23920504,23920507,23920717,23920736,23920630,23920656,23920555,23920551,23920679,23920628
23920507,23920508,23920837,23920736,23920630,23920525,23920555,23920591,23920679,23920628
23920507,23920508,23920717,23920707,23920630,23920634,23920555,23920591,23920551,23920628
23920507,23920508,23920948,23920736,23920630,23920634,23920555,23920591,23920628,23920537
23920504,23920507,23920948,23920953,23920806,23920656,23920555,23920591,23920551,23920628
23920504,23920507,23920837,23920543,23920754,23920656,23920555,23920591,23920679,23920628
23920504,23920507,23920837,23920638,23920630,23920582,23920555,23920591,23920628,23920723
23920507,23920508,23920542,23920736,23920630,23920656,23920555,23920591,23920628,23920731
23920504,23920507,23920717,23920707,23920630,23920582,23920698,23920591,23920551,23920628
23920504,23920507,23920948,23920736,23920651,23920527,23920555,23920591,23920628,23920723
23920504,23920507,23920717,23920707,23920776,23920656,23920555,23920591,23920551,23920628
23920504,23920507,23920542,23920707,23920754,23920656,23920555,23920591,23920628,23920731
23920504,23920507,23920948,23920707,23920630,23920532,23920941,23920591,23920551,23920628
23920504,23920507,23920948,23920707,23920806,23920527,23920555,23920591,23920628,23920629
23920504,23920507,23920948,23920736,23920630,23920525,23920555,23920591,23920679,23920731
23920507,23920508,23920837,23920543,23920630,23920656,23920539,23920591,23920679,23920628
23920507,23920508,23920948,23920707,23920630,23920751,23920528,23920591,23920628,23920523
23920504,23920507,23920581,23920953,23920630,23920656,23920555,23920591,23920701,23920628
23920504,23920507,23920837,23920707,23920630,23920527,23920627,23920591,23920679,23920628
