G,G,G,G,G,G
23516795,23516812,23516813,23516818,23516819,23516826
23516800,23516801,23516813,23516818,23516819,23516826
23516799,23516800,23516813,23516819,23516826,23516828
23516799,23516802,23516813,23516818,23516819,23516826
23516799,23516800,23516813,23516818,23516826,23516841
23516799,23516800,23516813,23516818,23516819,23516856
23516799,23516801,23516813,23516818,23516826,23516828
23516799,23516801,23516813,23516818,23516819,23516841
23516794,23516812,23516813,23516818,23516819,23516828
23516796,23516812,23516813,23516818,23516819,23516820
23516799,23516800,23516812,23516813,23516826,23516856
23516799,23516808,23516812,23516813,23516818,23516819
23516800,23516801,23516812,23516813,23516819,23516841
23516796,23516813,23516818,23516819,23516826,23516828
23516799,23516801,23516812,23516813,23516826,23516841
23516799,23516801,23516813,23516819,23516826,23516835
23516799,23516801,23516812,23516813,23516819,23516856
23516794,23516813,23516818,23516819,23516820,23516826
23516800,23516801,23516812,23516813,23516826,23516828
23516794,23516812,23516813,23516818,23516826,23516841
23516799,23516810,23516812,23516813,23516818,23516826
23516795,23516810,23516813,23516818,23516819,23516828
23516796,23516812,23516813,23516819,23516826,23516841
23516799,23516812,23516813,23516819,23516820,23516826
23516799,23516800,23516813,23516818,23516828,23516835
23516795,23516812,23516813,23516818,23516820,23516828
23516794,23516812,23516813,23516819,23516826,23516835
23516796,23516812,23516813,23516818,23516826,23516835
23516800,23516802,23516812,23516813,23516819,23516828
23516800,23516810,23516812,23516813,23516818,23516819
23516795,23516801,23516813,23516819,23516826,23516879
23516799,23516800,23516812,23516813,23516818,23516879
23516801,23516802,23516812,23516813,23516818,23516826
23516799,23516801,23516812,23516813,23516818,23516865
23516795,23516812,23516813,23516819,23516828,23516841
23516799,23516800,23516813,23516819,23516820,23516841
23516800,23516803,23516812,23516813,23516818,23516826
23516795,23516808,23516813,23516818,23516826,23516828
23516795,23516800,23516813,23516826,23516841,23516856
23516795,23516808,23516813,23516818,23516819,23516841
23516799,23516802,23516812,23516813,23516826,23516828
23516800,23516801,23516812,23516813,23516818,23516856
23516799,23516802,23516812,23516813,23516819,23516841
23516795,23516813,23516819,23516820,23516826,23516828
23516795,23516810,23516812,23516813,23516826,23516828
23516799,23516801,23516813,23516819,23516820,23516828
23516795,23516813,23516818,23516819,23516820,23516835
23516795,23516801,23516813,23516826,23516841,23516842
23516795,23516801,23516813,23516826,23516828,23516856
23516799,23516800,23516818,23516819,23516826,23516835
